data,sklep,cena,nazwa,ld
02.02.2023 , AVANS , 79.0 , Dysk GOODRAM CX400 256GB SSD                    
02.02.2023 , AVANS , 419.0 , Dysk KINGSTON KC3000 1TB SSD                    
02.02.2023 , AVANS , 459.0 , Dysk SEAGATE Expansion Portable 4TB HDD                    
02.02.2023 , AVANS , 537.67 , Dysk SAMSUNG Portable T7 1TB SSD                    
02.02.2023 , AVANS , 269.0 , Dysk SAMSUNG 870 Evo 500GB SSD                    
02.02.2023 , AVANS , 149.0 , Dysk CRUCIAL MX500 250GB SSD                    
02.02.2023 , AVANS , 269.0 , Dysk KINGSTON NV2 1TB SSD                    
02.02.2023 , AVANS , 555.0 , Dysk SAMSUNG T7 Shield 1TB USB 3.2 Gen. 2 SSD Czarny                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
